ID,Planet,Region,Sector,System,Inhabitants,Capital City,Grid Coordinates,Grid Letter,Grid Number,Hyperlane,Is Hyperlane Planet
4,Ab Dalis,Outer Rim Territories,Unknown,Ab Dalis system,Unknown,Unknown,R-17,R,17,,False
5,Abafar,Outer Rim Territories,Sprizen sector,Abafar system,Various,Unknown,O-6,O,6,,False
7,Abelor,Mid Rim Territories,Unknown,Unknown,Unknown,Unknown,K-17,K,17,Corellian Trade Spine,True
8,Abregado-rae,Core Worlds,Unknown,Abregado system,Unknown,Unknown,K-13,K,13,Rimma Trade Route,True
12,Aeos Prime,Outer Rim Territories,Unknown,Aeos system,Aeosians,Unknown,M-3,M,3,,False
13,Aeten II,Wild Space,Unknown,Unknown,Unknown,Unknown,J-6,J,6,,False
16,Agamar,Outer Rim Territories,Unknown,Agamar system,Unknown,Unknown,M-5,M,5,,False
17,Agaris,Wild Space,Unknown,Unknown,Agarian,Unknown,G-14,G,14,,False
18,Agoliba-Ado,Unknown,Unknown,Agoliba-Tu system,Unknown,Unknown,K-3,K,3,,False
19,Agoliba-Ena,Unknown,Unknown,Agoliba-Tu system,Unknown,Unknown,K-3,K,3,,False
20,Ahch-To,Unknown Regions,Unknown,Ahch-To system,"Human, Lanai",Unknown,F-13,F,13,,False
21,Ajara,Outer Rim Territories,Cademimu sector,Unknown,Unknown,Unknown,L-5,L,5,,False
22,Akiva,Outer Rim Territories,Unknown,Unknown,"Ahia-Ko, Uugteen",Myrra,O-6,O,6,,False
23,Alaris,Mid Rim Territories,Mytaranor sector,Kashyyyk system,Unknown,Unknown,P-9,P,9,,False
24,Alderaan,Core Worlds,Alderaan sector,Alderaan system,Humans,Aldera,M-10,M,10,,False
26,Aleen,Mid Rim Territories,Bright Jewel sector,Aleen system,"Aleena, Kindalo",Unknown,L-7,L,7,,False
30,Aloxor,Mid Rim Territories,Esaga sector,Aloxor system,Unknown,Unknown,R-11,R,11,,False
31,Alpinn,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,N-4,N,4,,False
33,Alzoc III,Outer Rim Territories,Sujimis sector,Unknown,Talz,Unknown,P-19,P,19,,False
34,Ambria,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,O-10,O,10,,False
39,Anaxes,Core Worlds,Azure sector,Azure system,Unknown,Unknown,R-7,R,7,Pelermian Trade Route,True
40,Andelm IV,Outer Rim Territories,Unknown,Unknown,Various,Unknown,O-19,O,19,,False
41,Ando,Mid Rim Territories,Lambda sector,Ando system,Aqualish,Unknown,Q-15,Q,15,,False
44,Ankhural,Mid Rim Territories,Unknown,Unknown,Unknown,Unknown,R-9,R,9,,False
46,Ansion,Mid Rim Territories,Unknown,Unknown,Unknown,Unknown,I-6,I,6,,False
47,Antar,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,N-12,N,12,,False
48,Anthan Prime,Outer Rim Territories,Albarrio sector,Anthan system,Various,Unknown,K-3,K,3,,False
49,Aquaris,Expansion Region,Unknown,Unknown,Unknown,Unknown,N-7,N,7,,False
51,Arbiflux,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,L-3,L,3,,False
53,Arbra,Outer Rim Territories,Bon'nyuw-Luq sector,Unknown,Unknown,Unknown,N-17,N,17,,False
56,Aridus,Expansion Region,Unknown,Unknown,Unknown,Unknown,O-14,O,14,,False
58,Arkania,Colonies,Unknown,Unknown,Arkanian,Unknown,M-8,M,8,,False
59,Arkanis,Outer Rim Territories,Arkanis sector,Arkanis system,Humans,Unknown,R-17,R,17,,False
62,Artiod Minor,Wild Space,Morellian Commonwealth,Artiod system,Artiodacs,Unknown,S-3,S,3,,False
64,Ashas Ree,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,R-5,R,5,,False
65,Askaji,Outer Rim Territories,Unknown,Unknown,Askajian,Unknown,M-20,M,20,,False
67,Asusto,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,P-5,P,5,,False
75,Avedot,Colonies,Unknown,Unknown,Unknown,Unknown,L-8,L,8,,False
77,Axxila,Outer Rim Territories,Unknown,Unknown,Humans,Unknown,O-5,O,5,,False
78,Bakura,Wild Space,Unknown,Unknown,Unknown,Salis D'aar,G-16,G,16,,False
80,Balosar,Core Worlds,Unknown,Unknown,Balosar,Unknown,L-12,L,12,,False
84,Banchii,Outer Rim Territories,Unknown,Inugg system,Banchiian,Unknown,K-19,K,19,,False
86,Baraan-Fa,Outer Rim Territories,Unknown,Unknown,Humans,Unknown,N-17,N,17,,False
87,Barab I,Outer Rim Territories,Unknown,Unknown,Barabel,Unknown,U-12,U,12,,False
88,Bardelberan 7,Mid Rim Territories,Unknown,Unknown,Unknown,Unknown,J-6,J,6,,False
89,Bardotta,Colonies,Shasos sector,Bardotta system,Bardottans,Bardotta Capital City,K-13,K,13,,False
90,Bar'leth,Core Worlds,Unknown,Unknown,Humans,Unknown,M-10,M,10,,False
92,Bastatha,Inner Rim Territories,Unknown,Bastatha system,Niktos,Unknown,N-10,N,10,,False
93,Basteel,Outer Rim Territories,Corva sector,Unknown,Unknown,Unknown,P-3,P,3,,False
94,Bastion,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,K-3,K,3,,False
96,Batuu,Outer Rim Territories,Trilon sector,Batuu system,Various,Unknown,G-15,G,15,,False
97,Batuv,Expansion Region,Unknown,Unknown,Unknown,Unknown,P-12,P,12,,False
100,Begamor,Outer Rim Territories,Unknown,Unknown,Various,Green Dawn,M-5,M,5,,False
102,Belderone,Outer Rim Territories,Unknown,Belderone system,Unknown,Unknown,R-6,R,6,,False
106,Bernilla,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,L-14,L,14,,False
107,Berzite,Outer Rim Territories,Unknown,Yost system,Unknown,Unknown,U-8,U,8,,False
108,Bespin,Outer Rim Territories,Anoat sector,Bespin system,"Humans, Ugnaughts",Unknown,K-18,K,18,,False
109,Bestine IV,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,M-14,M,14,Corellian Trade Spine,True
112,Birren,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,O-10,O,10,,False
114,Bith,Outer Rim Territories,Unknown,Unknown,Bith,Unknown,M-18,M,18,,False
116,Blutopia,Expansion Region,Unknown,Unknown,Blutopians,Unknown,K-16,K,16,,False
117,Bogano,Outer Rim Territories,Unknown,Unknown,"Humans, Zeffo",Unknown,N-3,N,3,,False
120,Botajef,Outer Rim Territories,Belsmuth sector,Botajef system,Jefi,Unknown,O-6,O,6,Hydian Way,True
121,Bothawui,Mid Rim Territories,Bothan Space,Unknown,Unknown,Unknown,R-14,R,14,,False
122,Botor,Core Worlds,Unknown,Unknown,Lo's species,Unknown,K-12,K,12,,False
123,Boz Pity,Mid Rim Territories,Unknown,Boz Pity system,Unknown,Unknown,S-9,S,9,,False
124,Bracca,Mid Rim Territories,Unknown,Bracca system,Unknown,Unknown,P-9,P,9,,False
126,Brentaal IV,Core Worlds,Bormea sector,Unknown,"Herglics,",Unknown,L-9,L,9,"Hydian Way, Pelermian Trade Route",True
130,Byss,Deep Core,Unknown,Unknown,Unknown,Unknown,K-11,K,11,,False
131,Cabarria,Colonies,Unknown,Unknown,Unknown,Unknown,M-13,M,13,,False
132,Cadomai Prime,Outer Rim Territories,Unknown,Unknown,Snivvian,Unknown,R-3,R,3,,False
137,Candovant,Colonies,Unknown,Unknown,Unknown,Unknown,N-12,N,12,Hydian Way,True
141,Cardota,Core Worlds,Unknown,Hosnian system,Unknown,Unknown,M-12,M,12,,False
142,Carida,Colonies,Unknown,Carida system,Unknown,Unknown,M-9,M,9,,False
143,Carlac,Outer Rim Territories,Unknown,Carlac system,Humans (Ming Po),Unknown,K-5,K,5,,False
145,Castell,Colonies,Unknown,Castell system,"Gossams,",Unknown,M-9,M,9,Pelermian Trade Route,True
146,Castilon,Mid Rim Territories,Tashtor sector,Castilon system,Chelidae,Unknown,I-16,I,16,,False
148,Cato Neimoidia,Colonies,Quellor sector,Cato Neimoidia system,Neimoidians,Zarra,N-11,N,11,,False
151,Cerea,Mid Rim Territories,Unknown,Unknown,Cerean,Unknown,I-16,I,16,,False
152,Cermau,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,H-16,H,16,,False
154,Chaaktil,Inner Rim Territories,Unknown,Unknown,Humans,Unknown,L-14,L,14,,False
155,Chad,Outer Rim Territories,Unknown,Unknown,Chadra-Fan,Unknown,R-7,R,7,,False
156,Chadawa,Inner Rim Territories,Croynar sector,Chadawa system,Unknown,Unknown,N-14,N,14,,False
157,Chagar IX,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,O-19,O,19,,False
159,Chalacta,Mid Rim Territories,Unknown,Unknown,Chalactans,Unknown,R-10,R,10,,False
160,Champala,Inner Rim Territories,Unknown,Unknown,Chagrians,Tidros,L-8,L,8,Hydian Way,True
161,Chandar's Folly,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,J-20,J,20,,False
163,Chandrila,Core Worlds,Bormea sector,Chandrila system,"Humans,",Hanna City,L-9,L,9,Pelermian Trade Route,True
164,Charros IV,"Outer Rim Territories,",Unknown,Unknown,Unknown,Unknown,R-9,R,9,,False
167,Chibbier,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,I-17,I,17,,False
168,Cholganna,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,T-5,T,5,,False
172,Christophsis,Outer Rim Territories,Savareen sector,Christoph system,Unknown,Unknown,Q-16,Q,16,Corellian Run,True
176,Codia I,Mid Rim Territories,Unknown,Codia system,Unknown,Unknown,H-15,H,15,,False
177,Colla IV,Inner Rim Territories,Unknown,Unknown,Colicoid,Unknown,N-9,N,9,,False
179,Commenor,Colonies,Unknown,Unknown,Unknown,Unknown,N-10,N,10,,False
180,Cona,Inner Rim Territories,Unknown,Unknown,Arcona,Unknown,O-11,O,11,,False
181,Concord Dawn,Outer Rim Territories,Mandalore sector,Concord Dawn system,Humans,Unknown,P-7,P,7,,False
183,Corellia,Core Worlds,Corellian sector,Corellia system,"Humans (Corellian),",Coronet City,M-11,M,11,"Corellian Run, Corellian Trade Spine",True
184,Corulag,Core Worlds,Unknown,Unknown,Humans,Unknown,L-9,L,9,Pelermian Trade Route,True
185,Coruscant,Core Worlds,"Corusca sector, Coruscant subsector",Coruscant system,Various,Galactic City,L-9,L,9,"Corellian Run, Pelermian Trade Route",True
188,Cosia,Deep Core,Cosian Space,Cosia system,Cosian,Unknown,M-11,M,11,,False
191,Courtsilius,Core Worlds,Unknown,Hosnian system,Unknown,Unknown,M-12,M,12,,False
193,Crait,Outer Rim Territories,Unknown,Crait system,Unknown,Unknown,N-17,N,17,,False
194,Crucival,Outer Rim Territories,Tion Hegemony,Unknown,Unknown,Unknown,S-6,S,6,,False
196,Csilla,Unknown Regions,Unknown,Csilla system,Chiss,Csaplar,F-8,F,8,,False
197,Cuyacan,Expansion Region,Unknown,Unknown,Unknown,Unknown,P-13,P,13,,False
198,Cyclor,Mid Rim Territories,Unknown,Unknown,Cyclorrians,Unknown,N-17,N,17,,False
199,Cyphar,Mid Rim Territories,Unknown,Unknown,Cyphari,Unknown,L-17,L,17,,False
200,Cyrillia,Expansion Region,Unknown,Unknown,Unknown,Unknown,O-12,O,12,,False
201,Cyrkon,Outer Rim Territories,Unknown,Unknown,Unknown,Motok,T-13,T,13,,False
204,Dagobah,Outer Rim Territories,Sluis sector,Dagobah system,Tash,Unknown,M-19,M,19,,False
208,Dalna,Outer Rim Territories,Dalnan sector,Unknown,Various,Saludad,I-19,I,19,,False
211,Dantooine,Outer Rim Territories,Raioballo sector,Dantooine system,Humans,Unknown,L-4,L,4,,False
213,Daro,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,N-6,N,6,,False
215,Dathomir,Outer Rim Territories,Quelli sector,Dathomir system,"Fromprath (later exiled),",Unknown,O-6,O,6,,False
216,Davnar II,Core Worlds,Unknown,Unknown,Unknown,Unknown,K-9,K,9,,False
217,Daxam IV,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,N-18,N,18,,False
223,Demir,Unknown Regions,Unknown,Unknown,Demirians,Unknown,G-6,G,6,,False
225,Denon,Inner Rim Territories,Unknown,Denon system,Humans,Unknown,N-13,N,13,"Corellian Run, Hydian Way",True
230,Devaron,Colonies,Duluur sector,Devaron system,Devaronians,Montellian Serat,M-13,M,13,,False
231,Dhandu,Expansion Region,Unknown,Unknown,Unknown,Unknown,I-8,I,8,,False
233,Dinwa Prime,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,L-8,L,8,,False
238,Dorin,Expansion Region,Unknown,Unknown,Kel Dor,Unknown,J-8,J,8,,False
239,Dotharian,Hutt Space,Unknown,Unknown,Unknown,Unknown,S-12,S,12,,False
240,Dowut,Core Worlds,Unknown,Unknown,Dowutin,Unknown,J-12,J,12,,False
241,D'Qar,Outer Rim Territories,Sanbra sector,Ileenium system,Unknown,Unknown,O-17,O,17,,False
242,Drahgor III,Outer Rim Territories,Unknown,Unknown,Gozzo,Unknown,S-4,S,4,,False
244,Duro,Core Worlds,Unknown,Unknown,Duros,Unknown,M-11,M,11,Corellian Trade Spine,True
245,Dwartii,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,N-8,N,8,,False
247,Dybrin,Deep Core,Unknown,Unknown,Unknown,Unknown,L-12,L,12,,False
248,Eadu,Outer Rim Territories,Bheriz sector,Eadu system,Humans,Unknown,U-10,U,10,,False
254,Elom,Outer Rim Territories,Unknown,Unknown,"Elom,",Unknown,R-5,R,5,,False
255,Elphrona,Outer Rim Territories,Unknown,Elphrona system,Unknown,Unknown,I-17,I,17,,False
256,Empress Teta,Deep Core,Koros sector,Empress Teta system,Various,Cinnagar,L-10,L,10,,False
257,Endor,Outer Rim Territories,Moddell sector,Endor system,Unknown,Unknown,H-16,H,16,,False
258,Ephemera,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,J-14,J,14,,False
259,Epiphany,Outer Rim Territories,Corporate Sector,Salient system,Unknown,Unknown,R-3,R,3,,False
260,Eriadu,Outer Rim Territories,Seswenna sector,Eriadu system,"Humans, Rodians",Eriadu City,M-18,M,18,"Hydian Way, Rimma Trade Route",True
261,Er'Kit,Outer Rim Territories,Unknown,Unknown,Er'Kit,Unknown,M-6,M,6,,False
262,E'ronoh,Outer Rim Territories,Unknown,Eiram system,Pantorans,Unknown,I-19,I,19,,False
263,Eroudac,Mid Rim Territories,Unknown,Unknown,Unknown,Unknown,P-15,P,15,,False
267,Espinar,Core Worlds,Unknown,Unknown,Unknown,Unknown,K-9,K,9,,False
268,Espirion,Inner Rim Territories,Unknown,Unknown,"Alder-Espirions, Espirions",Unknown,N-12,N,12,,False
275,Exegol,Unknown Regions,Unknown,Exegol system,Unknown,Unknown,F-7,F,7,,False
277,Falleen,Mid Rim Territories,Unknown,Unknown,Falleen,Unknown,P-15,P,15,,False
278,Farana,Wild Space,Unknown,Unknown,Unknown,Unknown,S-3,S,3,,False
280,Fedalle,Core Worlds,Unknown,Unknown,Unknown,Unknown,M-10,M,10,Hydian Way,True
281,Fedovoi End,Unknown,Unknown,Unknown,Unknown,Unknown,M-14,M,14,,False
283,Felucia,Outer Rim Territories,Thanium sector,Felucia system,"Felucians,",Unknown,R-6,R,6,,False
288,Florrum,Outer Rim Territories,Sertar sector,Unknown,Various,Unknown,R-5,R,5,,False
289,Fondor,Colonies,Unknown,Unknown,Unknown,Unknown,L-13,L,13,,False
292,Freerock,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,H-13,H,13,,False
299,Galaan,Outer Rim Territories,Corva sector,Galaan system,Unknown,Unknown,P-4,P,4,,False
300,Galagolos V,Colonies,Unknown,Unknown,Cloddogran,Unknown,J-9,J,9,,False
303,Galidraan,Outer Rim Territories,Unknown,Galidraan system,Unknown,Unknown,R-6,R,6,,False
310,Gamorr,Outer Rim Territories,Galov sector,Unknown,Gamorreans,Unknown,T-14,T,14,,False
312,Gand,Outer Rim Territories,Unknown,Unknown,Gand,Unknown,T-8,T,8,,False
313,Gannaria,Outer Rim Territories,Trilon sector,Unknown,Unknown,Unknown,H-15,H,15,,False
314,Ganthel,Core Worlds,Unknown,Unknown,Humans,Unknown,L-9,L,9,,False
315,Garel,Outer Rim Territories,Lothal sector,Garel system,"Bith,",Unknown,U-7,U,7,,False
317,Gatalenta,Core Worlds,Unknown,Unknown,Humans,Unknown,M-10,M,10,,False
320,Geonosis,Outer Rim Territories,Arkanis sector,Geonosis system,Geonosians,Stalgasin hive,R-16,R,16,,False
322,Gerrenthum,Outer Rim Territories,Anoat sector,Gerrenthum system,Unknown,Unknown,K-18,K,18,Corellian Trade Spine,True
325,Ghorman,Colonies,Unknown,Unknown,Unknown,Unknown,L-13,L,13,Rimma Trade Route,True
327,Gigor,Outer Rim Territories,Tynquay sector,Unknown,Gigorans,Unknown,R-4,R,4,,False
328,Giju,Colonies,Unknown,Unknown,Unknown,Unknown,L-13,L,13,Rimma Trade Route,True
330,Glee Anselm,Mid Rim Territories,Unknown,Jalor system,Anselmi,Unknown,J-7,J,7,,False
332,Gonda,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,N-18,N,18,,False
333,Gorse,Inner Rim Territories,Unknown,Gorse system,Various,Unknown,O-10,O,10,,False
336,Grange,Mid Rim Territories,Rocantor sector,Unknown,Humans,Unknown,Q-11,Q,11,,False
337,Gravlex Med,Outer Rim Territories,Unknown,Unknown,Anx,Ozlyn Gox,L-4,L,4,,False
339,Guagenia,Inner Rim Territories,Guagenian sector,Unknown,Unknown,Unknown,J-14,J,14,,False
340,Guat'a,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,P-19,P,19,,False
344,Gwongdeen,Colonies,Unknown,Unknown,Unknown,Unknown,J-9,J,9,,False
345,Gyndine,Expansion Region,Circarpous sector,Unknown,Unknown,Unknown,O-12,O,12,,False
347,Haidoral Prime,Mid Rim Territories,Kontahr sector,Unknown,Unknown,Unknown,R-10,R,10,,False
